date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns,batch,instrument,fastq_workflow,notes
2023_06_29,FALSE,channel1,FF06997903,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09147242,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A1,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09151099,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E6,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09151227,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F3,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09151259,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F2,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09151377,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F7,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09151393,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09151457,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09151740,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F6,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09152959,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-A2,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09458164,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E3,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09458212,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E7,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09458261,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-F12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09458278,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E2,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_29,FALSE,channel1,FF09458332,multiome,atac,nuclei,channel1,pbmc,*,SI-NA-E5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,223YKWLT3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/finngen_multiome/cellranger_arc_FINNGEN/output/230627_SL-EXA_0032_B223YKWLT3_arcfastqs,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04678208,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-D10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04678236,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-G10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04679235,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-C9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04679330,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-A10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04679332,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-B9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04679387,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-E10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04679397,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04679433,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-D9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04679446,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-C10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04679567,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-E9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04679568,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-B10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF04679594,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-F10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,FALSE,channel1,FF05494519,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-F7,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF05494528,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H7,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,FALSE,channel1,FF05494550,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-B5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,FALSE,channel1,FF05494569,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-H5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,FALSE,channel1,FF05494621,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-F5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,FALSE,channel1,FF05494755,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-D5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,FALSE,channel1,FF05494817,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-E5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,FALSE,channel1,FF05494832,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-G5,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF05494844,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-G7,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_06_09,FALSE,channel1,FF05494851,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-D4,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,22523WLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF06995952,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-D11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF06995960,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-B11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF06995973,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-F12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF06995975,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF06996007,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-C12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF06996032,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-C11,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
2023_05_16,FALSE,channel1,FF06996096,multiome,rna,nuclei,channel1,pbmc,*,SI-TT-A9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,SC3Pv3,2235MGLT3,,400,200,20,1000,20000,,,,TRUE,batch3,NovaSeqX,bcl_convert,
